               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.016727,           0.0085705,           0.0053322,             0.97255,             0.98104,             0.98801,             0.90357,            0.010598,           0.0049003,           0.0023332,           0.0033175,           0.0033175,           0.0033175
                  83,            0.016489,           0.0084376,           0.0052092,             0.97256,             0.98108,             0.98806,             0.90384,             0.01058,           0.0048903,           0.0023207,            0.003235,            0.003235,            0.003235
                  84,            0.016419,           0.0084867,           0.0050692,             0.97325,             0.98054,             0.98809,             0.90426,            0.010556,           0.0048807,           0.0023095,           0.0031525,           0.0031525,           0.0031525
                  85,            0.016189,           0.0084303,           0.0049924,             0.97332,             0.98033,             0.98813,             0.90466,             0.01054,           0.0048719,           0.0022977,             0.00307,             0.00307,             0.00307
                  86,            0.016047,           0.0083401,           0.0050209,             0.97321,             0.98048,             0.98812,             0.90483,            0.010529,           0.0048659,           0.0022858,           0.0029875,           0.0029875,           0.0029875
                  87,            0.015871,           0.0082832,           0.0049816,             0.97318,             0.98071,             0.98815,             0.90518,            0.010519,           0.0048594,           0.0022746,            0.002905,            0.002905,            0.002905
                  88,            0.015989,           0.0082817,           0.0049461,             0.97334,             0.98051,             0.98817,              0.9053,             0.01051,           0.0048523,           0.0022643,           0.0028225,           0.0028225,           0.0028225
                  89,            0.015759,           0.0081654,           0.0047652,             0.97356,             0.98043,             0.98821,             0.90574,            0.010496,            0.004843,           0.0022536,             0.00274,             0.00274,             0.00274
                  90,            0.015533,           0.0081619,           0.0048037,             0.97343,              0.9804,             0.98822,             0.90603,            0.010483,           0.0048364,           0.0022427,           0.0026575,           0.0026575,           0.0026575
                  91,            0.015541,             0.00815,           0.0047306,             0.97359,             0.98051,             0.98827,             0.90638,            0.010471,           0.0048295,           0.0022316,            0.002575,            0.002575,            0.002575
                  92,            0.015382,           0.0080245,           0.0046606,              0.9736,             0.98054,             0.98826,             0.90659,             0.01046,            0.004824,           0.0022209,           0.0024925,           0.0024925,           0.0024925
                  93,            0.015229,           0.0080374,           0.0045797,             0.97366,             0.98059,             0.98826,             0.90689,             0.01045,           0.0048188,           0.0022094,             0.00241,             0.00241,             0.00241
                  94,              0.0151,           0.0080133,           0.0045319,             0.97381,             0.98052,             0.98829,             0.90717,            0.010439,           0.0048117,           0.0021986,           0.0023275,           0.0023275,           0.0023275
                  95,            0.014996,            0.007942,           0.0044354,             0.97387,             0.98072,             0.98831,             0.90746,            0.010431,           0.0048047,           0.0021869,            0.002245,            0.002245,            0.002245
                  96,            0.014833,           0.0078887,           0.0044471,              0.9739,              0.9808,             0.98833,             0.90749,            0.010429,           0.0047995,           0.0021756,           0.0021625,           0.0021625,           0.0021625
                  97,            0.014564,           0.0079037,            0.004305,              0.9741,              0.9809,             0.98836,             0.90741,            0.010431,           0.0047952,           0.0021632,             0.00208,             0.00208,             0.00208
                  98,            0.014656,           0.0078702,           0.0043421,             0.97427,             0.98074,             0.98837,             0.90752,            0.010424,           0.0047903,           0.0021511,           0.0019975,           0.0019975,           0.0019975
                  99,            0.014277,           0.0077735,           0.0043327,             0.97431,             0.98063,             0.98838,             0.90769,            0.010413,           0.0047846,           0.0021384,            0.001915,            0.001915,            0.001915
                 100,             0.01421,           0.0077391,           0.0041738,             0.97436,             0.98069,              0.9884,             0.90798,            0.010407,           0.0047787,           0.0021264,           0.0018325,           0.0018325,           0.0018325
                 101,             0.01404,           0.0076888,           0.0040856,             0.97441,             0.98082,             0.98844,             0.90833,            0.010398,           0.0047727,           0.0021137,             0.00175,             0.00175,             0.00175
                 102,            0.013835,           0.0075155,           0.0039547,             0.97459,             0.98083,             0.98845,             0.90841,            0.010391,           0.0047671,           0.0021008,           0.0016675,           0.0016675,           0.0016675
                 103,            0.013751,           0.0075512,           0.0039811,             0.97454,             0.98076,             0.98846,             0.90883,             0.01038,           0.0047613,           0.0020882,            0.001585,            0.001585,            0.001585
                 104,            0.013578,            0.007552,           0.0038766,             0.97456,             0.98088,              0.9885,             0.90896,            0.010372,           0.0047553,           0.0020754,           0.0015025,           0.0015025,           0.0015025
                 105,            0.013376,           0.0074427,           0.0038585,             0.97466,             0.98078,              0.9885,             0.90923,            0.010362,           0.0047496,           0.0020626,             0.00142,             0.00142,             0.00142
                 106,            0.013302,           0.0073676,           0.0037861,             0.97538,             0.97982,             0.98851,             0.90944,            0.010358,           0.0047443,           0.0020491,           0.0013375,           0.0013375,           0.0013375
                 107,            0.013191,           0.0073507,           0.0038159,             0.97499,             0.98062,             0.98854,             0.90961,            0.010353,           0.0047372,           0.0020357,            0.001255,            0.001255,            0.001255
                 108,            0.013034,           0.0072957,           0.0037251,             0.97582,             0.97961,             0.98857,             0.90975,            0.010352,           0.0047314,           0.0020217,           0.0011725,           0.0011725,           0.0011725
                 109,            0.012828,           0.0073232,            0.003643,             0.97528,             0.98029,             0.98859,             0.90975,            0.010347,           0.0047259,           0.0020067,             0.00109,             0.00109,             0.00109
                 110,            0.012719,           0.0072268,           0.0035347,             0.97553,             0.97989,             0.98861,              0.9101,            0.010343,           0.0047204,           0.0019916,           0.0010075,           0.0010075,           0.0010075
                 111,            0.012694,           0.0072279,           0.0035284,             0.97524,             0.98043,             0.98863,             0.91032,            0.010333,           0.0047146,           0.0019756,            0.000925,            0.000925,            0.000925
                 112,            0.012497,           0.0071043,           0.0035259,             0.97511,             0.98084,             0.98865,             0.91058,            0.010323,           0.0047078,             0.00196,           0.0008425,           0.0008425,           0.0008425
                 113,             0.01226,           0.0070983,           0.0034454,             0.97485,             0.98122,             0.98868,             0.91112,            0.010313,           0.0047004,           0.0019439,             0.00076,             0.00076,             0.00076
                 114,            0.012188,           0.0070586,           0.0034492,             0.97487,              0.9813,              0.9887,              0.9111,            0.010307,           0.0046948,           0.0019272,           0.0006775,           0.0006775,           0.0006775
                 115,            0.012216,           0.0070505,            0.003461,             0.97492,             0.98116,             0.98873,             0.91121,            0.010298,           0.0046879,           0.0019101,            0.000595,            0.000595,            0.000595
                 116,            0.011874,           0.0069552,           0.0032969,             0.97484,              0.9812,             0.98875,             0.91153,            0.010294,           0.0046822,           0.0018928,           0.0005125,           0.0005125,           0.0005125
                 117,            0.011697,           0.0069396,           0.0031868,             0.97561,             0.98039,             0.98879,             0.91171,             0.01029,           0.0046756,            0.001875,             0.00043,             0.00043,             0.00043
                 118,            0.011644,           0.0068798,           0.0031942,             0.97546,             0.98049,              0.9888,             0.91188,            0.010286,           0.0046701,           0.0018566,           0.0003475,           0.0003475,           0.0003475
                 119,             0.01141,            0.006817,            0.003165,             0.97544,             0.98032,             0.98881,             0.91207,            0.010287,           0.0046658,           0.0018381,            0.000265,            0.000265,            0.000265
